Da,k_plus,c_A_num,c_B_num,c_A_ana,c_B_ana,err_analytical,err_lte
1.000000000000000021e-02,1.000000000000000021e-02,1.985185185185280865e+00,1.007407407407304278e+00,1.985185185185185164e+00,1.007407407407407307e+00,1.022711327389997217e-13,2.941176470588828806e+00
3.162277660168379134e-02,3.162277660168379134e-02,1.954369537499960119e+00,1.022815231249950108e+00,1.954369537499817788e+00,1.022815231250091106e+00,1.378531721267641391e-13,2.821549538544878555e+00
1.000000000000000056e-01,1.000000000000000056e-01,1.866666666666799035e+00,1.066666666666572505e+00,1.866666666666666696e+00,1.066666666666666652e+00,8.826273045769994496e-14,2.500000000000557332e+00
3.162277660168379412e-01,3.162277660168379412e-01,1.660039527081276223e+00,1.169980236459272849e+00,1.660039527081176969e+00,1.169980236459411405e+00,1.184257897317278885e-13,1.837722339832126739e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.333333333333365456e+00,1.333333333333230675e+00,1.333333333333333481e+00,1.333333333333333259e+00,7.693845560652334825e-14,1.000000000000202061e+00
3.162277660168379523e+00,3.162277660168379523e+00,1.042284888222383410e+00,1.478857555888707376e+00,1.042284888222397843e+00,1.478857555888801079e+00,6.336162864722108554e-14,4.095811784875127426e-01
1.000000000000000000e+01,1.000000000000000000e+01,8.888888888888542006e-01,1.555555555555459879e+00,8.888888888888888395e-01,1.555555555555555580e+00,6.152221589315688526e-14,1.428571428571685509e-01
3.162277660168379256e+01,3.162277660168379256e+01,8.296088151792961884e-01,1.585195592410255649e+00,8.296088151793314935e-01,1.585195592410334253e+00,4.958617757947573911e-14,4.669583886224915048e-02
1.000000000000000000e+02,1.000000000000000000e+02,8.095238095237436982e-01,1.595238095237961673e+00,8.095238095238095344e-01,1.595238095238095344e+00,8.379366852126105820e-14,1.492537313433084378e-02
3.162277660168379612e+02,3.162277660168379612e+02,8.030281259336964350e-01,1.598485937032972926e+00,8.030281259337674893e-01,1.598485937033116144e+00,8.959651558928797641e-14,4.735928330074301584e-03
1.000000000000000000e+03,1.000000000000000000e+03,8.009592326138259555e-01,1.599520383692879744e+00,8.009592326139087781e-01,1.599520383693045611e+00,1.036981595045612025e-13,1.499250374812799436e-03
3.162277660168379498e+03,3.162277660168379498e+03,8.003035018745595641e-01,1.599848249062117977e+00,8.003035018748003715e-01,1.599848249062599814e+00,3.011765603204184354e-13,4.742666608823498109e-04
1.000000000000000000e+04,1.000000000000000000e+04,8.000959923204681301e-01,1.599952003839400616e+00,8.000959923206143465e-01,1.599952003839692827e+00,1.827485373586789820e-13,1.499925003749513763e-04
3.162277660168379225e+04,3.162277660168379225e+04,8.000303570969554690e-01,1.599984821450017858e+00,8.000303570975568768e-01,1.599984821451221562e+00,7.523220140343636117e-13,4.743341491475483451e-05
1.000000000000000000e+05,1.000000000000000000e+05,8.000095999206120467e-01,1.599995200033222709e+00,8.000095999232006427e-01,1.599995200038399679e+00,3.235706177106518793e-12,1.499992500031410714e-05
3.162277660168379080e+05,3.162277660168379080e+05,8.000030357792137226e-01,1.599998482111242515e+00,8.000030357788738833e-01,1.599998482110563058e+00,4.247974728082084882e-13,4.743408990481867704e-06
1.000000000000000000e+06,1.000000000000000000e+06,8.000009600035311585e-01,1.599999520008981824e+00,8.000009599992319309e-01,1.599999520000384035e+00,5.374028101869507739e-12,1.499999250365036119e-06
