Da,Da_local,k_plus,c_m_num,c_s_num,c_m_ana,c_s_ana,err_analytical,err_lte
1.000000000000000021e-02,9.951097905706860966e-03,2.500000000000000052e-03,1.990219581141372096e+00,1.002445104714656976e+00,1.990219581141354332e+00,1.002445104714661417e+00,8.925431425921065416e-15,4.938390863039935352e-01
3.162277660168379134e-02,3.115578551974463109e-02,7.905694150420947836e-03,1.970464890681718595e+00,1.007383777329570407e+00,1.970464890637492195e+00,1.007383777340626896e+00,2.244465279736580102e-11,4.810953694149436854e-01
1.000000000000000056e-01,9.590467618189787991e-02,2.500000000000000139e-02,1.918093523637957487e+00,1.020476619090510573e+00,1.918093523637957265e+00,1.020476619090510573e+00,1.157631795262463549e-16,4.452548723929053986e-01
3.162277660168379412e-01,2.864973985576540483e-01,7.905694150420948529e-02,1.811968646310451625e+00,1.047007838422387094e+00,1.811968646310451625e+00,1.047007838422387094e+00,0.000000000000000000e+00,3.622087281312146301e-01
1.000000000000000000e+00,8.380874888405551726e-01,2.500000000000000000e-01,1.676174977681110345e+00,1.080956255579722525e+00,1.676174977679906419e+00,1.080956255580023395e+00,7.182578572852490356e-13,2.305163283539803931e-01
3.162277660168379523e+00,2.490540504696716617e+00,7.905694150420948807e-01,1.575156119949381539e+00,1.106210970012654560e+00,1.575156119949377764e+00,1.106210970012655448e+00,2.396434382546693241e-15,1.082959342941514080e-01
1.000000000000000000e+01,7.634162189561729761e+00,2.500000000000000000e+00,1.526832437912345908e+00,1.118291890521913468e+00,1.526832437912345908e+00,1.118291890521913468e+00,0.000000000000000000e+00,4.059403329023014706e-02
3.162277660168379256e+01,2.385705620397602544e+01,7.905694150420948141e+00,1.508852717424296497e+00,1.122786820643925987e+00,1.508852717424296275e+00,1.122786820643925987e+00,1.471612188259666756e-16,1.364419892181756300e-02
1.000000000000000000e+02,7.514193099768124284e+01,2.500000000000000000e+01,1.502838619953624777e+00,1.124290345011593750e+00,1.502838619953624777e+00,1.124290345011593750e+00,0.000000000000000000e+00,4.402533674023767496e-03
3.162277660168379612e+02,2.373133873161806946e+02,7.905694150420949029e+01,1.500901646337688300e+00,1.124774588415577981e+00,1.500901646337688078e+00,1.124774588415577981e+00,1.479408097571461095e-16,1.401237221174467251e-03
1.000000000000000000e+03,7.501427639168842916e+02,2.500000000000000000e+02,1.500285527833768562e+00,1.124928618041557860e+00,1.500285527833768118e+00,1.124928618041557860e+00,2.960031284786663676e-16,4.440215851424511584e-04
3.162277660168379498e+03,2.371851072773696160e+03,7.905694150420948745e+02,1.500090332135732840e+00,1.124977416966066901e+00,1.500090332135732396e+00,1.124977416966066901e+00,2.960416451839916240e-16,1.405033590698989698e-04
1.000000000000000000e+04,7.500142847814097877e+03,2.500000000000000000e+03,1.500028569562819492e+00,1.124992857609295127e+00,1.500028569562819269e+00,1.124992857609295127e+00,1.480269172404801688e-16,4.444021206206905106e-05
3.162277660168379225e+04,2.371722530545555128e+04,7.905694150420948063e+03,1.500009034892445081e+00,1.124997741276888785e+00,1.500009034892444415e+00,1.124997741276888785e+00,4.440865350006761196e-16,1.405414411226324489e-05
1.000000000000000000e+05,7.500014285620994633e+04,2.500000000000000000e+04,1.500002857124198785e+00,1.124999285718950359e+00,1.500002857124198341e+00,1.124999285718950359e+00,2.960589093153258002e-16,4.444402117331769375e-06
3.162277660168379080e+05,2.371709673694763624e+05,7.905694150420947699e+04,1.500000903506037542e+00,1.124999774123490504e+00,1.500000903506037098e+00,1.124999774123490726e+00,2.960592949058015291e-16,1.405452505931492624e-06
1.000000000000000000e+06,7.500001428570495918e+05,2.500000000000000000e+05,1.500000285714099268e+00,1.124999928571475127e+00,1.500000285714099046e+00,1.124999928571475127e+00,1.480297084205710347e-16,4.444440213635658665e-07
