a_F,c_0,c_m,c_H2,c_HF,w_rec,w_F,J,B,n_flux,n_flux_pred,n_conc,n_conc_pred,err_analytical
1.000000000000000056e-01,1.000000000000000021e-03,9.794516416486978225e-04,2.398313795820822296e-07,3.917806566594791588e-05,4.796627591641646709e-07,1.958903283297396133e-05,2.054835835130228982e-05,2.041958903283297388e+01,1.051208610188800963e+00,1.046686236531763070e+00,1.013314999314872678e+00,1.012095063893282187e+00,2.220446049250313081e-16
1.000000000000000056e-01,1.211527658628588954e-03,1.186392286246787430e-03,3.518816642164697511e-07,4.745569144987149286e-05,7.037633284329397139e-07,2.372784572493575998e-05,2.513537238180163920e-05,1.685783044263632746e+01,1.056285417753848321e+00,1.055997843814916015e+00,1.014698900638766332e+00,1.014613191359258870e+00,1.110223024625156540e-16
1.000000000000000056e-01,1.467799267622069137e-03,1.436994426118992337e-03,5.162382451742629027e-07,5.747977704475969619e-05,1.032476490348526229e-06,2.873988852237984132e-05,3.080484150307689504e-05,1.391793846689831504e+01,1.067364922283950079e+00,1.067033390854836838e+00,1.017747948518302081e+00,1.017645474716317722e+00,2.220446049250313081e-16
1.000000000000000056e-01,1.778279410038922752e-03,1.740441444721977250e-03,7.572841056264807917e-07,6.961765778887909215e-05,1.514568211252962007e-06,3.480882889443954607e-05,3.783796531694546839e-05,1.149133747685194251e+01,1.080433827139099634e+00,1.080055478594916574e+00,1.021414472333898260e+00,1.021292293190011469e+00,1.110223024625156540e-16
1.000000000000000056e-01,2.154434690031884272e-03,2.107835021132911570e-03,1.110742119078595356e-06,8.431340084531647040e-05,2.221484238157190712e-06,4.215670042265822165e-05,4.659966889897260053e-05,9.488408627564442810e+00,1.095769903035233028e+00,1.095343348596460542e+00,1.025816734348254045e+00,1.025671545481504854e+00,5.551115123125782702e-16
1.000000000000000056e-01,2.610157215682535736e-03,2.552589707322165322e-03,1.628928553481764078e-06,1.021035882928866085e-04,3.257857106963529850e-06,5.105179414644330426e-05,5.756750836037036651e-05,7.835180069334882980e+00,1.113657824069523627e+00,1.113183884442921157e+00,1.031092611116008584e+00,1.030920770824658383e+00,2.220446049250313081e-16
1.000000000000000056e-01,3.162277660168379394e-03,3.090905844342927734e-03,2.388424734648314375e-06,1.236362337737171202e-04,4.776849469296638914e-06,6.181811688685853300e-05,7.137181582545180914e-05,6.470595031745983050e+00,1.134375607579794831e+00,1.133858145937578055e+00,1.037401490125187564e+00,1.037199087107477657e+00,1.110223024625156540e-15
1.000000000000000056e-01,3.831186849557285078e-03,3.742335076210441449e-03,3.501267955658744039e-06,1.496934030484176439e-04,7.002535911317521960e-06,7.484670152420888969e-05,8.885177334684392684e-05,5.344256885797714851e+00,1.158176113996603362e+00,1.157622873411479514e+00,1.044925707777679236e+00,1.044688687899671065e+00,2.220446049250313081e-15
1.000000000000000056e-01,4.641588833612777208e-03,4.530454719264190473e-03,5.131254990825754522e-06,1.812181887705676168e-04,1.026250998165166490e-05,9.060909438528383548e-05,1.111341143485871687e-04,4.414567905282615001e+00,1.185263647548325139e+00,1.184686944091027039e+00,1.053871159506929445e+00,1.053595532335776630e+00,7.549516567451064475e-15
1.000000000000000056e-01,5.623413251903490971e-03,5.483669238806721836e-03,7.517657080158596107e-06,2.193467695522688702e-04,1.503531416031790033e-05,1.096733847761344216e-04,1.397440130967702188e-04,3.647192988676983383e+00,1.215766594090876396e+00,1.215183660854310954e+00,1.064466587753113203e+00,1.064148734929565299e+00,2.320366121466577169e-14
