t,flux,c_metal_gamma,c_salt_gamma
1.000000000000000000e+01,6.560363005317109568e-24,1.263269341103787776e+18,3.607857861581961929e-03
2.200000000000000000e+01,9.662576390572611840e-09,2.599047426423208755e+19,1.726181052763017500e+14
3.639999999999999858e+01,2.979280016123519867e-05,2.496863921655376773e+20,1.593113850758499200e+16
5.367999999999999261e+01,2.727262160362799864e-02,1.511805416882930450e+21,5.840473378557902080e+17
7.441599999999999682e+01,1.000669871797620125e+01,6.564427410821058920e+21,1.101156854694835610e+19
9.929919999999998481e+01,1.751830093657452608e+03,2.201966814172952710e+22,1.239014240756366049e+20
1.291590399999999761e+02,1.646877002349108807e+05,5.991061863491289324e+22,9.171950056410947256e+20
1.649908479999999713e+02,9.061684898997617885e+06,1.368337452271883172e+23,4.784536312118177169e+21
2.008226559999999665e+02,9.532846290341819823e+07,2.423280066783560933e+23,1.500583789193610448e+22
2.366544639999999617e+02,6.092054932983779907e+08,3.700753939033023840e+23,3.499718294262440683e+22
2.724862719999999285e+02,2.898732009161711216e+09,5.128814882655855182e+23,6.721812378153838969e+22
3.083180799999998953e+02,1.120698890453564835e+10,6.642966233779183047e+23,1.127654695476239081e+23
3.441498879999998621e+02,3.696689225798210144e+10,8.192416136183653943e+23,1.715046065623679243e+23
3.799816959999998289e+02,1.073460671393519440e+11,9.740348408818730963e+23,2.424379109382637486e+23
4.158135039999997957e+02,2.804899932974828491e+11,1.126168156363904822e+24,3.240841799058782264e+23
4.516453119999997625e+02,6.702684863044620361e+11,1.274028508967410227e+24,4.147720257120499495e+23
4.874771199999997293e+02,1.483257796993608643e+12,1.416648864742348991e+24,5.128323828916307613e+23
5.233089279999996961e+02,3.070071694603021484e+12,1.553512001902657885e+24,6.167087189438523779e+23
5.591407359999997198e+02,5.991993726468884766e+12,1.684405537202430229e+24,7.250100997775155507e+23
5.949725439999997434e+02,1.110229157416113867e+13,1.809318593767644225e+24,8.365284472743856072e+23
6.308043519999997670e+02,1.963984269257885547e+13,1.928369753138529472e+24,9.502352580580261054e+23
6.666361599999997907e+02,3.333103943347516797e+13,2.041757564859725052e+24,1.065267733688958769e+24
7.024679679999998143e+02,5.449462313840414844e+13,2.149726951458809745e+24,1.180910391354782382e+24
7.382997759999998379e+02,8.614330308362182812e+13,2.252546664039902702e+24,1.296575639997072647e+24
7.812979455999998208e+02,1.460861977330998125e+14,2.369221510581076403e+24,1.434371057868419262e+24
8.242961151999998037e+02,2.366888810923836875e+14,2.479374689440663280e+24,1.570848965619660756e+24
8.758939187199997605e+02,4.085995219697938125e+14,2.603205312872427012e+24,1.731676904518087327e+24
9.274917222399997172e+02,6.667390850767487500e+14,2.719115093960542267e+24,1.889318290165509757e+24
9.894090864639996425e+02,1.148123468803843000e+15,2.848221270027219377e+24,2.072990536353282748e+24
1.051326450687999568e+03,1.854982346443866750e+15,2.968068590863331795e+24,2.251114915341709127e+24
1.125627287756799433e+03,3.130122580732349000e+15,3.100387074415597560e+24,2.456300862175900712e+24
1.199928124825599298e+03,4.938916627662602000e+15,3.222260747769942102e+24,2.653206316429188706e+24
1.289089129308159272e+03,8.060439296849705000e+15,3.355724152994150853e+24,2.877544839941583412e+24
1.378250133790719246e+03,1.230364722963471600e+16,3.477792751109564837e+24,3.090700543858443742e+24
1.485243339169791170e+03,1.926327769886370000e+16,3.610520989848908570e+24,3.331111873670470816e+24
1.613635185624677433e+03,3.062824642999221200e+16,3.753153124849643004e+24,3.599498302707248270e+24
1.742027032079563696e+03,4.521028735152831200e+16,3.881525079770336594e+24,3.849941623450365485e+24
1.896097247825427303e+03,6.746005815183036800e+16,4.018925508731993533e+24,4.127330130070180687e+24
2.080981506720463585e+03,1.008149249281250720e+17,4.164412604138404587e+24,4.431561109964629555e+24
2.302842617394507215e+03,1.495512977962522560e+17,4.316912361145086115e+24,4.762068581530838206e+24
2.524703728068550845e+03,2.058099233391772160e+17,4.451500205120521712e+24,5.063629604547321718e+24
2.790937060877402928e+03,2.818737664960792320e+17,4.593032261676446083e+24,5.390736203973961317e+24
3.110417060248025791e+03,3.816947779430727680e+17,4.740612530433821887e+24,5.742724245344235161e+24
3.493793059492772954e+03,5.082907304264188800e+17,4.893269909496069511e+24,6.118533497507999935e+24
3.953844258586469550e+03,6.629673271580880640e+17,5.049908774878008748e+24,6.516524342302046757e+24
4.505905697498905283e+03,8.446903307572477440e+17,5.209202395626202057e+24,6.934120427767098075e+24
5.057967136411341016e+03,1.017855392206025472e+18,5.346029148473363339e+24,7.303172016296808380e+24
5.720440863106264260e+03,1.209504990302305536e+18,5.485447036762510816e+24,7.689053943952786107e+24
6.515409335140171606e+03,1.414466069836228096e+18,5.625181163241871390e+24,8.085778778258490790e+24
7.469371501580861150e+03,1.625966682238422016e+18,5.762394039492030256e+24,8.485055889114978541e+24
8.614126101309688238e+03,1.836187742050330112e+18,5.893779446133015536e+24,8.876393348737832266e+24
9.987831620984281471e+03,2.036971657418398208e+18,6.015806011316645747e+24,9.247756939797256848e+24
1.163627824459379190e+04,2.220633156569170944e+18,6.125100261988475523e+24,9.586832677929318026e+24
1.361441419292520550e+04,2.380813893551745024e+18,6.218910747132774905e+24,9.882740180489843623e+24
1.561441419292520550e+04,2.498160190468929024e+18,6.286850133985799652e+24,1.009985028641044101e+25
1.761441419292520732e+04,2.583215718169336832e+18,6.335708849949324134e+24,1.025744358823180189e+25
1.961441419292520732e+04,2.644890546141800960e+18,6.370943735572842462e+24,1.037185051495133719e+25
2.161441419292520732e+04,2.689627251600811520e+18,6.396403361249211118e+24,1.045491224592261427e+25
2.361441419292520732e+04,2.722086580167990784e+18,6.414825156196851656e+24,1.051521970350232506e+25
2.561441419292520732e+04,2.745642814454522880e+18,6.428167758479612296e+24,1.055900770076018539e+25
2.761441419292520732e+04,2.762740596206903296e+18,6.437838429677778603e+24,1.059080195716136795e+25
2.961441419292520732e+04,2.775152071530612736e+18,6.444851271780101301e+24,1.061388796856226958e+25
3.161441419292520732e+04,2.784162458323362304e+18,6.449938617841497047e+24,1.063065104981368644e+25
3.361441419292520732e+04,2.790704148831325696e+18,6.453630127680018318e+24,1.064282305613360024e+25
3.561441419292520732e+04,2.795453736000453632e+18,6.456309298579114369e+24,1.065166144124386190e+25
3.761441419292520732e+04,2.798902279994417664e+18,6.458254020041733040e+24,1.065807923021058138e+25
3.961441419292520732e+04,2.801406231302614528e+18,6.459665771796237486e+24,1.066273937294658445e+25
4.161441419292520732e+04,2.803224354872795648e+18,6.460690694552655267e+24,1.066612324497795143e+25
4.361441419292520732e+04,2.804544514039035392e+18,6.461434821548057620e+24,1.066858038165436972e+25
4.561441419292520732e+04,2.805503104496097280e+18,6.461975102636891690e+24,1.067036458843607053e+25
4.761441419292520732e+04,2.806199158192446976e+18,6.462367390303102125e+24,1.067166016001194495e+25
4.961441419292520732e+04,2.806704580547629568e+18,6.462652228602234438e+24,1.067260091795523194e+25
5.161441419292520732e+04,2.807071581884371968e+18,6.462859051459328317e+24,1.067328403412188416e+25
5.361441419292520732e+04,2.807338072506832896e+18,6.463009228431337984e+24,1.067378006803393954e+25
5.561441419292520732e+04,2.807531579651689472e+18,6.463118274882826536e+24,1.067414025523157350e+25
5.761441419292520732e+04,2.807672091404576768e+18,6.463197456102804423e+24,1.067440179952432789e+25
5.961441419292520732e+04,2.807774121598953472e+18,6.463254951704595358e+24,1.067459171583924276e+25
6.161441419292520732e+04,2.807848209122519552e+18,6.463296700923500583e+24,1.067472962062557206e+25
6.361441419292520732e+04,2.807902006568977920e+18,6.463327016304150147e+24,1.067482975805346433e+25
6.561441419292520732e+04,2.807941070721309184e+18,6.463349029260876193e+24,1.067490247130142780e+25
6.761441419292520732e+04,2.807969436536121344e+18,6.463365013583251441e+24,1.067495527090609786e+25
6.961441419292520732e+04,2.807990033926757376e+18,6.463376620328171656e+24,1.067499361052644342e+25
7.161441419292520732e+04,2.808004990400363520e+18,6.463385048374452228e+24,1.067502145025219763e+25
7.361441419292520732e+04,2.808015850811252736e+18,6.463391168263846462e+24,1.067504166564120371e+25
7.561441419292520732e+04,2.808023736930437120e+18,6.463395612123892170e+24,1.067505634473540439e+25
7.761441419292520732e+04,2.808029463314064896e+18,6.463398838962707111e+24,1.067506700373423742e+25
7.961441419292520732e+04,2.808033621439245312e+18,6.463401182081159814e+24,1.067507474360259074e+25
8.161441419292520732e+04,2.808036640797813248e+18,6.463402883500125905e+24,1.067508036378918631e+25
8.361441419292520732e+04,2.808038833258594304e+18,6.463404118959111182e+24,1.067508444480141944e+25
8.561441419292520732e+04,2.808040425280286208e+18,6.463405016068546487e+24,1.067508740816582531e+25
8.761441419292520732e+04,2.808041581302374400e+18,6.463405667490715922e+24,1.067508955996740580e+25
8.961441419292520732e+04,2.808042420730059776e+18,6.463406140510885311e+24,1.067509112246510065e+25
9.161441419292520732e+04,2.808043030267585536e+18,6.463406483987203526e+24,1.067509225704883436e+25
9.361441419292520732e+04,2.808043472873905664e+18,6.463406733397251485e+24,1.067509308090940095e+25
9.561441419292520732e+04,2.808043794265686016e+18,6.463406914502525423e+24,1.067509367914310771e+25
9.761441419292520732e+04,2.808044027639396864e+18,6.463407046009334490e+24,1.067509411354133559e+25
9.961441419292520732e+04,2.808044197100135424e+18,6.463407141500986281e+24,1.067509442897294222e+25
1.016144141929252073e+05,2.808044320151449600e+18,6.463407210840782996e+24,1.067509465801876567e+25
