Da,B_nominal,B_measured,J_steady,J_over_J_lte,t_lag,t_lag_over_lte,hf_fraction,c_metal_gamma
1.000000000000000021e-02,1.000000000000000021e-02,6.486281765372328874e-03,2.209804578340789440e+17,7.869549549006370215e-02,1.159641322240032241e+04,1.464951050595529436e+00,6.444483636645195745e-03,9.964740897510597723e+24
1.000000000000000021e-02,3.162277660168379134e-02,2.051951821535235795e-02,2.238848098105983680e+17,7.972979245962356909e-02,1.158809183781718457e+04,1.463899827182420177e+00,2.010694160668684283e-02,9.960810127050676824e+24
1.000000000000000021e-02,1.000000000000000056e-01,6.496936069493794430e-02,2.330545386952521600e+17,8.299531360642650735e-02,1.156314091329693110e+04,1.460747828164424833e+00,6.100587293280507889e-02,9.948399751254035090e+24
1.000000000000000021e-02,3.162277660168379412e-01,2.062607418172105467e-01,2.619061508004860480e+17,9.326994120274219313e-02,1.149564656852409098e+04,1.452221406296908546e+00,1.709918966413966623e-01,9.909351775615531121e+24
1.000000000000000021e-02,1.000000000000000000e+00,6.603532279710445652e-01,3.517106890760458880e+17,1.252511068954928197e-01,1.135399509512121222e+04,1.434326866769884079e+00,3.977186214142839349e-01,9.787809677484550512e+24
1.000000000000000021e-02,3.162277660168379523e+00,2.169324906344072712e+00,6.220929481326945280e+17,2.215395572713265426e-01,1.116134192153886397e+04,1.409989387272787775e+00,6.844754922570737143e-01,9.421872398256370367e+24
1.000000000000000021e-02,1.000000000000000000e+01,7.674027384464026547e+00,1.360541568156577536e+18,4.845156621102735262e-01,1.097927207138279846e+04,1.386988877274344389e+00,8.847133582210437996e-01,8.422450651410462402e+24
1.000000000000000021e-02,3.162277660168379256e+01,3.246915757046554063e+01,2.932516006949337088e+18,1.044326735772703296e+00,1.079088929513924086e+04,1.363190868296963565e+00,9.701217694038085648e-01,6.294928429469996713e+24
1.000000000000000021e-02,1.000000000000000000e+02,1.854324494898465332e+02,5.008268338367755264e+18,1.783543044023267576e+00,1.059022751411512945e+04,1.337841677880239333e+00,9.946361328985531269e-01,3.485588222548941281e+24
3.162277660168379134e-02,1.000000000000000021e-02,6.827558345410041779e-03,5.890077095551130880e+17,2.097572518639195527e-01,1.114893087757003377e+04,1.408421525594143464e+00,6.781261608647547526e-03,9.466651598680670792e+24
3.162277660168379134e-02,3.162277660168379134e-02,2.161346425036501234e-02,5.963957907591618560e+17,2.123882931640058702e-01,1.114048463400528817e+04,1.407354529002485366e+00,2.115621372601292002e-02,9.456652534310422004e+24
3.162277660168379134e-02,1.000000000000000056e-01,6.857613697710536471e-02,6.196638554692189440e+17,2.206745095082025265e-01,1.111517367024028499e+04,1.404157046966617362e+00,6.417527119578791961e-02,9.425161424187919058e+24
3.162277660168379134e-02,3.162277660168379412e-01,2.191426398796023356e-01,6.923050066067239680e+17,2.465434548337967213e-01,1.104687134970176521e+04,1.395528555181093866e+00,1.797514999098512034e-01,9.326848539993373021e+24
3.162277660168379134e-02,1.000000000000000000e+00,7.159163449818468639e-01,9.129947507342609920e+17,3.251354214444006629e-01,1.090440153727667348e+04,1.377530636567162015e+00,4.172211304156695499e-01,9.028165951273968391e+24
3.162277660168379134e-02,3.162277660168379523e+00,2.495092356877429918e+00,1.531024287339537408e+18,5.452279178006380622e-01,1.071609013145270910e+04,1.353741643668214811e+00,7.138846751081597830e-01,8.191721516843334241e+24
3.162277660168379134e-02,1.000000000000000000e+01,1.024426606981653620e+01,2.921903809590900736e+18,1.040547523178313893e+00,1.056055971856695760e+04,1.334093806238929369e+00,9.110658832963864917e-01,6.309296569457917502e+24
3.162277660168379134e-02,3.162277660168379256e+01,5.650974209086690081e+01,4.911237686953579520e+18,1.748988517050138025e+00,1.045532052140149426e+04,1.320799154738103942e+00,9.826116771035268149e-01,3.616916177576394492e+24
3.162277660168379134e-02,1.000000000000000000e+02,4.234186117803920979e+02,6.455805405579339776e+18,2.299039517607284644e+00,1.039337318938611315e+04,1.312973475592570827e+00,9.976438421869769924e-01,1.526482417165340414e+24
1.000000000000000056e-01,1.000000000000000021e-02,7.551233007374847338e-03,1.259348815330436096e+18,4.484789288094673809e-01,1.031729238621747209e+04,1.303362344081944846e+00,7.494641879782320583e-03,8.559411950573530110e+24
1.000000000000000056e-01,3.162277660168379134e-02,2.393428142279887053e-02,1.273931094043706624e+18,4.536719656054027938e-01,1.030970679969382763e+04,1.302404072525552570e+00,2.337483005245812387e-02,8.539676256996855242e+24
1.000000000000000056e-01,1.000000000000000056e-01,7.623944747239398689e-02,1.319666108569915392e+18,4.699591054939790125e-01,1.028719020251077927e+04,1.299559597077279971e+00,7.083876547669851198e-02,8.477778369434692295e+24
1.000000000000000056e-01,3.162277660168379412e-01,2.466393335428682942e-01,1.460598247066329600e+18,5.201478171029347841e-01,1.022830373145823251e+04,1.292120590206805808e+00,1.978434408354532159e-01,8.287040436145950923e+24
1.000000000000000056e-01,1.000000000000000000e+00,8.361081834834287463e-01,1.871922666052088320e+18,6.666285479173812423e-01,1.011854588187748050e+04,1.278255106632640192e+00,4.553699167805477788e-01,7.730352766053815157e+24
1.000000000000000056e-01,3.162277660168379523e+00,3.222777827640465720e+00,2.897690117233837568e+18,1.031924550195273849e+00,1.003235048998929960e+04,1.267366219915567305e+00,7.631892278165195442e-01,6.342075265696760540e+24
1.000000000000000056e-01,1.000000000000000000e+01,1.627274209559214313e+01,4.648938989593737216e+18,1.655578782282416173e+00,1.009278867913544127e+04,1.275001252143869168e+00,9.421054206216878946e-01,3.971924139218829916e+24
1.000000000000000056e-01,3.162277660168379256e+01,1.147123837890382845e+02,6.267187298378945536e+18,2.231868892883183353e+00,1.022532853569443978e+04,1.291744739840291034e+00,9.913579120878531770e-01,1.781768510051768607e+24
1.000000000000000056e-01,1.000000000000000000e+02,1.003702965780796944e+03,7.107883423608536064e+18,2.531257349129365064e+00,1.030476707218856063e+04,1.301780046901446886e+00,9.990046853449575659e-01,6.439561679864872347e+23
3.162277660168379412e-01,1.000000000000000021e-02,8.558478248704683156e-03,2.003663457918919680e+18,7.135440398745835910e-01,9.314449160620299153e+03,1.176675220335495764e+00,8.485853219226392047e-03,7.552056974630294083e+24
3.162277660168379412e-01,3.162277660168379134e-02,2.716833511447410560e-02,2.025034220447872768e+18,7.211545895254455329e-01,9.309034184891232144e+03,1.175991157579959978e+00,2.644974268915168195e-02,7.523133753389292167e+24
3.162277660168379412e-01,1.000000000000000056e-01,8.695773566876649485e-02,2.091765544042848256e+18,7.449189288090457550e-01,9.293552881236761095e+03,1.174035436304919688e+00,8.000103642695902129e-02,7.432819481135090900e+24
3.162277660168379412e-01,3.162277660168379412e-01,2.855281442627493060e-01,2.294565854906143744e+18,8.171401157201029219e-01,9.258282926007899732e+03,1.169579855344147212e+00,2.221096266012782539e-01,7.158349225986716869e+24
3.162277660168379412e-01,1.000000000000000000e+00,1.011340368718979033e+00,2.861591471741467648e+18,1.019069111205844314e+00,9.229075429179629282e+03,1.165890132294162385e+00,5.028191631362683989e-01,6.390935735273045535e+24
3.162277660168379412e-01,3.162277660168379523e+00,4.351183141729654480e+00,4.112933519586222080e+18,1.464696672339023564e+00,9.372657961262240860e+03,1.184028618495678531e+00,8.131255252265804367e-01,4.697365798299985984e+24
3.162277660168379412e-01,1.000000000000000000e+01,2.621737284580046179e+01,5.762141920565576704e+18,2.052012281843706543e+00,9.780392580084000656e+03,1.235536894955963971e+00,9.632588242783007848e-01,2.465314895782726563e+24
3.162277660168379412e-01,3.162277660168379256e+01,2.126979421678252606e+02,6.873676555352408064e+18,2.447851668259471758e+00,1.012198639486267530e+04,1.278689739567461237e+00,9.953205144586247943e-01,9.609438770529204835e+23
3.162277660168379412e-01,1.000000000000000000e+02,1.982761307417991475e+03,7.342828741193162752e+18,2.614926006356398602e+00,1.027283751360227143e+04,1.297746451383680943e+00,9.994959094591835402e-01,3.259798216219457392e+23
1.000000000000000000e+00,1.000000000000000021e-02,9.377362844331226660e-03,2.490946069041724928e+18,8.870749796773856888e-01,8.551255727746534831e+03,1.080262562399475046e+00,9.290245298646363642e-03,6.892568547821926994e+24
1.000000000000000000e+00,3.162277660168379134e-02,2.980162719494896389e-02,2.516203867056096256e+18,8.960697792592623445e-01,8.547887326912279605e+03,1.079837039244484487e+00,2.893919353010260265e-02,6.858384627928738050e+24
1.000000000000000000e+00,1.000000000000000056e-01,9.572645339297158884e-02,2.594838994186364928e+18,9.240732975481376066e-01,8.539135904183422099e+03,1.078731489996197945e+00,8.736346324486619908e-02,6.751959765435350465e+24
1.000000000000000000e+00,3.162277660168379412e-01,3.177939611558885935e-01,2.831577417622429696e+18,1.008380515102306862e+00,8.527765859992390688e+03,1.077295135680124138e+00,2.411560405344725933e-01,6.431557749559137587e+24
1.000000000000000000e+00,1.000000000000000000e+00,1.162106791905755276e+00,3.474219515979087872e+18,1.237238029692686370e+00,8.586141896644436201e+03,1.084669660421776705e+00,5.374881770791775093e-01,5.561805118608445157e+24
1.000000000000000000e+00,3.162277660168379523e+00,5.384295985370409099e+00,4.778892212314050560e+18,1.701857685642206963e+00,8.967919324988128210e+03,1.132898818353593295e+00,8.433657040141060435e-01,3.796057880651761621e+24
1.000000000000000000e+00,1.000000000000000000e+01,3.571324874439660135e+01,6.246484003813372928e+18,2.224496041726644613e+00,9.639786555979337209e+03,1.217774424890279983e+00,9.727619190804694949e-01,1.809806424453893650e+24
1.000000000000000000e+00,3.162277660168379256e+01,3.069931960639218573e+02,7.091764901780944896e+18,2.525517225888502804e+00,1.008469168716224522e+04,1.273978375788024531e+00,9.967531864685769127e-01,6.657824160336440281e+23
1.000000000000000000e+00,1.000000000000000000e+02,2.925424662653023461e+03,7.420441140859580416e+18,2.642565311242388137e+00,1.026228881972416639e+04,1.296413856564682110e+00,9.996582876947542884e-01,2.209387570021105926e+23
3.162277660168379523e+00,1.000000000000000021e-02,9.791179997880766414e-03,2.706188607809935872e+18,9.637270891214786417e-01,8.158961211607811492e+03,1.030704802380180585e+00,9.696242779748207724e-03,6.601259099979947279e+24
3.162277660168379523e+00,3.162277660168379134e-02,3.113383737374916110e-02,2.733041915113280512e+18,9.732900810009251780e-01,8.156644209285918805e+03,1.030412100238527584e+00,3.019379016838801694e-02,6.564915816154557592e+24
3.162277660168379523e+00,1.000000000000000056e-01,1.001780576141545059e-01,2.816529625333767168e+18,1.003021699749154783e+00,8.151619393141731962e+03,1.029777325541532784e+00,9.105622599890744739e-02,6.451923460770556524e+24
3.162277660168379523e+00,3.162277660168379412e-01,3.343417545528932777e-01,3.066778441505331200e+18,1.092140234380890140e+00,8.154621493846751946e+03,1.030156574753980481e+00,2.505668174035268203e-01,6.113236475047377396e+24
